Paris;Rouen;133;105
Rouen;Paris;133;105
Paris;Lyon;464;295
Paris;Angers;294;191
Angers;La Rochelle;187;140
La Rochelle;Bordeaux;183;98
Bordeaux;Biarritz;202;107
Biarritz;Toulouse;309;159
Pau;Toulouse;193;101
Toulouse;Nimes;289;146
Montpellier;Nimes;52;35
Nimes;Marseille;126;73
Marseille;Avignon;99;60
Monaco;Marseille;224;123
Toulon;Monaco;169;95
