Paris;Rouen;133;118,80888333333334
Rouen;Paris;133;116,64028333333334
Paris;Lyon;464;308,34341666666666
Lyon;Paris;464;292,07056666666665
Angers;Paris;294;199,12483333333333
Paris;Angers;294;199,05991666666665
La Rochelle;Angers;187;133,55303333333333
Angers;La Rochelle;187;137,26435
Bordeaux;La Rochelle;183;132,91209999999998
La Rochelle;Bordeaux;183;132,02828333333335
Biarritz;Bordeaux;202;160,35378333333335
Bordeaux;Biarritz;202;151,11686666666668
Toulouse;Biarritz;309;188,79168333333334
Biarritz;Toulouse;309;193,02346666666665
Toulouse;Pau;193;127,33198333333333
Pau;Toulouse;193;124,78241666666666
Nimes;Toulouse;289;185,04395000000002
Toulouse;Nimes;289;182,44653333333332
Nimes;Montpellier;52;58,883383333333335
Montpellier;Nimes;52;60,83996666666667
Marseille;Nimes;126;103,26141666666668
Nimes;Marseille;126;101,02161666666666
Avignon;Marseille;99;80,95968333333333
Marseille;Avignon;99;87,6566
Marseille;Monaco;224;159,37313333333336
Monaco;Marseille;224;157,76674999999997
Toulon;Monaco;169;136,38123333333334
Monaco;Toulon;169;130,54245
Marseille;Lyon;312;207,59833333333333
Lyon;Marseille;312;206,65403333333333
Paris;Toulouse;675;441,55325
Toulouse;Paris;675;419,8810833333334
